Character	Average Views	Total Matches
Byleth	81444.51	92
Kazuya	33658.58	238
Cloud	32189.92	282
Pit	31043.52	46
Joker	30573.74	267
Donkey Kong	26451.76	99
Pyra & Mythra	25254.86	358
Wario	23226.35	228
Incineroar	21884.09	115
Corrin	21593.37	147
Zero Suit Samus	21481.61	116
Steve	20961.51	462
Mario	19626.71	212
Terry	19469.58	156
Fox	18794.6	294
Rosalina and Luma	18603.38	120
Captain Falcon	18583.89	156
Roy	18469.17	355
Sephiroth	18046.57	161
Marth	17922.54	37
Ryu	17717.07	141
Min Min	17235.64	159
Sonic	17197.64	315
Sora	15592.63	129
Bowser	15432.75	92
Mewtwo	15228.0	27
Mr. Game and Watch	15008.07	271
Dark Pit	14868.21	29
Dark Samus	14333.61	87
Pac-Man	13988.81	144
Lucina	13968.81	126
Diddy Kong	13683.9	267
Ice Climbers	13207.58	79
Jigglypuff	12843.41	73
Meta Knight	12198.74	62
Ness	12188.56	241
Samus	11255.4	159
Sheik	11141.38	127
ROB	10079.43	414
Peach	9735.16	157
Little Mac	9588.51	71
Lucas	9229.31	68
Olimar	9118.84	163
Kirby	8959.7	43
Richter	8901.04	47
Simon	8872.78	9
Greninja	8799.45	101
Dr. Mario	8746.85	39
Pikachu	8567.4	107
Falco	8531.35	197
Pokemon Trainer	8212.04	149
Shulk	8109.54	81
Ken	7906.37	121
Luigi	7718.83	143
Bayonetta	7575.27	199
Snake	7367.58	342
Lucario	7206.15	34
Ridley	7195.19	54
Robin	7162.79	47
Hero	6873.84	102
Pichu	6717.82	55
Mega Man	6519.62	112
Link	6429.32	62
Wolf	6297.74	231
King K. Rool	5893.41	29
Yoshi	5875.41	190
Mii Brawler	5809.18	50
Piranha Plant	5409.04	24
Ganondorf	5370.22	18
Chrom	5317.57	58
Villager	5201.53	36
Palutena	4962.51	316
Mii Swordfighter	4720.44	18
Young Link	4644.28	124
King Dedede	4210.08	51
Bowser Jr.	4151.55	55
Zelda	4092.43	54
Isabelle	4061.57	37
Inkling	3789.87	62
Ike	3771.43	56
Mii Gunner	3450.51	47
Duck Hunt	3287.93	29
	3079.35	20
Wii Fit Trainer	2924.67	75
Toon Link	2915.4	70
Daisy	2807.44	52
Banjo & Kazooie	2742.86	49
