Character	Total Views	Total Matches
Steve	9684216	462
Cloud	9077557	282
Pyra & Mythra	9041240	358
Joker	8163188	267
Kazuya	8010742	238
Byleth	7492895	92
Roy	6556554	355
Fox	5525613	294
Sonic	5417256	315
Wario	5295608	228
ROB	4172883	414
Mario	4160862	212
Mr. Game and Watch	4067186	271
Diddy Kong	3653600	267
Corrin	3174225	147
Terry	3037255	156
Ness	2937444	241
Sephiroth	2905497	161
Captain Falcon	2899087	156
Min Min	2740467	159
Donkey Kong	2618724	99
Snake	2519713	342
Incineroar	2516670	115
Ryu	2498107	141
Zero Suit Samus	2491867	116
Rosalina and Luma	2232406	120
Pac-Man	2014389	144
Sora	2011449	129
Samus	1789609	159
Lucina	1760070	126
Falco	1680676	197
Palutena	1568154	316
Peach	1528420	157
Bayonetta	1507479	199
Olimar	1486371	163
Wolf	1454777	231
Pit	1428002	46
Bowser	1419813	92
Sheik	1414955	127
Dark Samus	1247024	87
Pokemon Trainer	1223594	149
Yoshi	1116328	190
Luigi	1103792	143
Ice Climbers	1043399	79
Ken	956671	121
Jigglypuff	937569	73
Pikachu	916712	107
Greninja	888744	101
Meta Knight	756322	62
Mega Man	730198	112
Hero	701132	102
Little Mac	680784	71
Marth	663134	37
Shulk	656873	81
Lucas	627593	68
Young Link	575891	124
Dark Pit	431178	29
Richter	418349	47
Mewtwo	411156	27
Link	398618	62
Ridley	388540	54
Kirby	385267	43
Pichu	369480	55
Dr. Mario	341127	39
Robin	336651	47
Chrom	308419	58
Mii Brawler	290459	50
Lucario	245009	34
Inkling	234972	62
Bowser Jr.	228335	55
Zelda	220991	54
Wii Fit Trainer	219350	75
King Dedede	214714	51
Ike	211200	56
Toon Link	204078	70
Villager	187255	36
King K. Rool	170909	29
Mii Gunner	162174	47
Isabelle	150278	37
Daisy	145987	52
Banjo & Kazooie	134400	49
Piranha Plant	129817	24
Ganondorf	96664	18
Duck Hunt	95350	29
Mii Swordfighter	84968	18
Simon	79855	9
	61587	20
